"Internet Explorer","IE10",0.10
"Internet Explorer","IE9",6.40
"Internet Explorer","IE8",8.80
"Internet Explorer","IE7",2.30
"Internet Explorer","IE6",0.70
"Firefox","FF12",2.60
"Firefox","FF11",21.60
"Firefox","FF10",2.40
"Firefox","FF9",1.40
"Firefox","FF8",1.10
"Firefox","FF6+7",1.30
"Firefox","FF4+5",1.40
"Firefox","FF3.6",3.10
"Firefox","other",0.90
"Chrome","C20",0.30
"Chrome","C19",0.90
"Chrome","C18",31.30
"Chrome","C17",3.40
"Chrome","C16",0.60
"Chrome","older",1.80
"Safari","S5",4.40
"Safari","S4",0.10
"Opera","O11",1.60
"Opera","other",0.70
